user_id,group,signup_date,country,baseline_steps_7d,steps_7d,reward_points_7d,ad_revenue_7d,is_retained_d7
u_007338,test,2024-11-10,JP,4213,26521,61,1.8,0
u_009989,test,2024-11-07,JP,5345,44911,111,3.67,1
u_003914,control,2024-12-18,JP,11610,72004,156,4.17,1
u_013079,control,2024-12-08,US,7857,64940,137,3.72,1
u_010889,test,2024-12-22,JP,9942,72454,170,6.7,1
u_004826,test,2024-11-18,US,3519,27470,55,1.52,1
u_010795,test,2024-11-02,US,7424,59036,139,5.93,1
u_005338,control,2024-11-09,KR,5311,31373,72,1.92,1
u_011482,test,2024-11-05,KR,7585,64079,120,3.12,1
u_010970,test,2024-12-31,KR,4356,37456,72,3.49,1
u_013346,test,2024-11-11,KR,4503,42325,103,3.0,1
u_000782,test,2024-11-04,KR,6400,55475,134,2.96,1
u_009204,control,2024-11-28,US,4109,33091,78,3.46,1
u_007174,control,2024-11-02,JP,6737,45938,114,1.34,0
u_010433,test,2024-11-28,US,6381,54935,101,5.57,1
u_002223,test,2024-12-21,KR,4405,25102,55,0.79,1
u_003607,control,2024-12-19,KR,7747,60016,141,4.09,1
u_013254,control,2024-11-03,JP,5379,38555,73,1.34,1
u_011888,test,2024-12-01,KR,5458,44384,80,2.76,1
u_010279,test,2024-12-11,KR,5493,42776,72,1.88,0
u_001785,test,2024-11-03,KR,6691,51021,80,2.05,1
u_000528,test,2024-12-27,KR,3174,21696,34,1.2,1
u_009096,test,2024-12-30,KR,5580,40263,76,3.45,1
u_011985,test,2024-11-09,JP,3666,35925,76,1.37,1
u_013030,control,2024-11-28,KR,5448,32331,73,1.8,1
u_009326,control,2024-11-07,KR,5096,34798,56,2.75,0
u_005291,control,2024-12-16,KR,8804,74034,127,4.69,0
u_010140,test,2024-12-16,KR,4122,27560,57,2.31,0
u_003804,test,2024-12-05,JP,6232,40204,83,4.25,0
u_008988,control,2024-12-04,US,5264,37130,72,3.88,1
u_003082,test,2024-12-30,JP,4135,33584,74,1.44,1
u_006524,test,2024-11-18,KR,4568,38267,69,3.18,1
u_001292,test,2024-11-27,US,7150,61504,147,4.61,1
u_004074,control,2024-11-28,KR,6266,42016,74,2.69,1
u_009992,control,2024-12-31,KR,6189,41069,92,1.09,1
