date,country,platform,ad_network,impressions,clicks,revenue
2025-01-01,KR,android,AdNetworkA,51181,1585,529.63
2025-01-01,KR,android,AdNetworkB,17050,1183,149.72
2025-01-01,KR,android,AdNetworkC,37796,2608,401.19
2025-01-01,KR,android,AdNetworkD,36796,906,241.06
2025-01-01,KR,ios,AdNetworkA,15169,679,131.97
2025-01-01,KR,ios,AdNetworkB,49813,2963,777.33
2025-01-01,KR,ios,AdNetworkC,11040,836,64.74
2025-01-01,KR,ios,AdNetworkD,44201,2488,749.53
2025-01-01,JP,android,AdNetworkA,45207,3304,402.11
2025-01-01,JP,android,AdNetworkB,47679,2359,460.62
2025-01-01,JP,android,AdNetworkC,24642,1395,366.46
2025-01-01,JP,android,AdNetworkD,39890,2437,540.09
2025-01-01,JP,ios,AdNetworkA,52605,3168,337.25
2025-01-01,JP,ios,AdNetworkB,31698,2270,196.09
2025-01-01,JP,ios,AdNetworkC,27172,1418,144.29
2025-01-01,JP,ios,AdNetworkD,55277,4874,803.12
2025-01-01,US,android,AdNetworkA,5585,345,94.92
2025-01-01,US,android,AdNetworkB,37601,2990,362.02
2025-01-01,US,android,AdNetworkC,19509,721,348.13
2025-01-01,US,android,AdNetworkD,43531,2085,395.86
2025-01-01,US,ios,AdNetworkA,11326,938,83.92
2025-01-01,US,ios,AdNetworkB,10983,584,163.62
2025-01-01,US,ios,AdNetworkC,26023,687,132.41
2025-01-01,US,ios,AdNetworkD,28020,2218,88.13
2025-01-02,KR,android,AdNetworkA,43111,1390,239.51
2025-01-02,KR,android,AdNetworkB,19090,1236,234.4
2025-01-02,KR,android,AdNetworkC,11471,765,48.48
2025-01-02,KR,android,AdNetworkD,45518,1984,759.02
2025-01-02,KR,ios,AdNetworkA,50342,1253,637.5
2025-01-02,KR,ios,AdNetworkB,37174,1139,312.66
2025-01-02,KR,ios,AdNetworkC,58518,1627,848.17
2025-01-02,KR,ios,AdNetworkD,45035,3442,505.44
2025-01-02,JP,android,AdNetworkA,37003,1134,211.49
2025-01-02,JP,android,AdNetworkB,35724,2393,306.73
2025-01-02,JP,android,AdNetworkC,59353,4936,741.48
2025-01-02,JP,android,AdNetworkD,20296,1080,142.78
2025-01-02,JP,ios,AdNetworkA,56983,2849,975.99
2025-01-02,JP,ios,AdNetworkB,7557,378,104.09
2025-01-02,JP,ios,AdNetworkC,23735,1818,351.12
2025-01-02,JP,ios,AdNetworkD,5000,149,15.2
2025-01-02,US,android,AdNetworkA,19120,1079,223.12
2025-01-02,US,android,AdNetworkB,38833,1328,491.85
2025-01-02,US,android,AdNetworkC,43884,1505,161.06
2025-01-02,US,android,AdNetworkD,22455,464,140.49
2025-01-02,US,ios,AdNetworkA,11723,828,175.23
