point_id,created_at,user_id,point_delta,reason,campaign_id
p_00019554,2025-01-01 06:00:01,u_003022,-1,steps_reward,step_promo_default
p_00018004,2025-01-01 06:00:04,u_002790,3,steps_reward,step_promo_default
p_00035959,2025-01-01 06:00:07,u_005540,5,steps_reward,step_promo_default
p_00091871,2025-01-01 06:00:11,u_014179,2,steps_reward,step_promo_default
p_00095016,2025-01-01 06:00:12,u_014664,10,steps_reward,step_promo_default
p_00042264,2025-01-01 06:00:14,u_006512,2,steps_reward,step_promo_default
p_00093497,2025-01-01 06:00:17,u_014437,3,steps_reward,step_promo_default
p_00078671,2025-01-01 06:00:18,u_012151,-1,steps_reward,step_promo_default
p_00020307,2025-01-01 06:00:20,u_003137,2,steps_reward,step_promo_default
p_00000592,2025-01-01 06:00:21,u_000102,3,steps_reward,step_promo_default
p_00020675,2025-01-01 06:00:37,u_003192,3,steps_reward,step_promo_default
p_00008740,2025-01-01 06:00:50,u_001362,2,steps_reward,step_promo_default
p_00049828,2025-01-01 06:00:57,u_007677,4,steps_reward,step_promo_default
p_00069056,2025-01-01 06:01:06,u_010675,3,steps_reward,step_promo_default
p_00033870,2025-01-01 06:01:06,u_005223,6,steps_reward,step_promo_default
p_00007416,2025-01-01 06:01:06,u_001154,3,steps_reward,step_promo_default
p_00009343,2025-01-01 06:01:07,u_001453,2,steps_reward,step_promo_default
p_00040491,2025-01-01 06:01:11,u_006245,5,steps_reward,step_promo_default
p_00057258,2025-01-01 06:01:13,u_008831,2,steps_reward,step_promo_default
p_00091046,2025-01-01 06:01:14,u_014050,-1,steps_reward,step_promo_default
p_00081687,2025-01-01 06:01:17,u_012629,3,steps_reward,step_promo_default
p_00089480,2025-01-01 06:01:22,u_013820,2,steps_reward,step_promo_default
p_00078756,2025-01-01 06:01:25,u_012168,2,steps_reward,step_promo_default
p_00090397,2025-01-01 06:01:27,u_013954,4,steps_reward,step_promo_default
p_00084536,2025-01-01 06:01:30,u_013076,5,steps_reward,step_promo_default
p_00035595,2025-01-01 06:01:31,u_005484,3,steps_reward,step_promo_default
p_00083888,2025-01-01 06:01:35,u_012975,-1,steps_reward,step_promo_default
p_00009798,2025-01-01 06:01:36,u_001518,3,steps_reward,step_promo_default
p_00026334,2025-01-01 06:01:37,u_004074,2,steps_reward,step_promo_default
p_00012265,2025-01-01 06:01:39,u_001898,5,steps_reward,step_promo_default
p_00100498,2025-01-01 06:01:40,u_007803,12,ad_reward,ad_watch_bonus
p_00055597,2025-01-01 06:01:44,u_008565,2,steps_reward,step_promo_default
p_00077260,2025-01-01 06:01:47,u_011927,3,steps_reward,step_promo_default
p_00089148,2025-01-01 06:01:49,u_013766,5,steps_reward,step_promo_default
p_00019821,2025-01-01 06:01:54,u_003067,3,steps_reward,step_promo_default
p_00021969,2025-01-01 06:01:57,u_003400,3,steps_reward,step_promo_default
p_00036412,2025-01-01 06:02:06,u_005616,2,steps_reward,step_promo_default
p_00069820,2025-01-01 06:02:06,u_010796,3,steps_reward,step_promo_default
p_00032792,2025-01-01 06:02:07,u_005056,3,steps_reward,step_promo_default
p_00021991,2025-01-01 06:02:07,u_003403,-1,steps_reward,step_promo_default
