user_id,signup_at,country,marketing_channel,device_os
u_000001,2024-11-04 08:05:49,JP,organic,Android
u_000002,2024-11-27 08:06:53,KR,paid_tiktok,iOS
u_000003,2024-12-28 01:24:34,KR,paid_google,Android
u_000004,2024-12-06 10:21:54,JP,referral,iOS
u_000005,2024-11-04 05:08:21,JP,paid_facebook,Android
u_000006,2024-12-06 10:44:15,KR,paid_facebook,Android
u_000007,2024-11-11 00:57:27,US,referral,Android
u_000008,2024-12-20 02:56:38,JP,referral,Android
u_000009,2024-11-25 02:00:20,KR,paid_google,Android
u_000010,2024-12-17 14:06:57,KR,referral,Android
u_000011,2024-11-03 02:42:09,KR,paid_tiktok,Android
u_000012,2024-11-09 00:18:58,JP,paid_tiktok,iOS
u_000013,2024-11-28 18:30:16,KR,paid_facebook,Android
u_000014,2024-12-01 01:49:19,KR,paid_google,Android
u_000015,2024-11-22 16:51:30,KR,organic,Android
u_000016,2024-11-14 19:40:33,JP,paid_google,Android
u_000017,2024-12-07 10:00:25,KR,organic,Android
u_000018,2024-12-28 20:32:27,KR,paid_tiktok,iOS
u_000019,2024-12-14 17:40:50,KR,organic,iOS
u_000020,2024-12-13 19:56:53,KR,cross_promo,Android
u_000021,2024-12-02 16:42:26,JP,cross_promo,iOS
u_000022,2024-11-24 16:02:54,US,paid_tiktok,Android
u_000023,2024-12-19 20:11:46,JP,organic,Android
u_000024,2024-12-23 02:58:31,JP,organic,iOS
u_000025,2024-12-13 08:10:21,JP,paid_facebook,Android
u_000026,2024-11-22 17:25:56,KR,paid_tiktok,Android
u_000027,2024-11-05 23:29:24,KR,paid_facebook,Android
u_000028,2024-12-07 10:01:12,KR,paid_facebook,iOS
u_000029,2024-12-08 02:53:40,KR,paid_google,iOS
u_000030,2024-11-24 00:57:22,JP,paid_google,Android
u_000031,2024-11-15 12:34:32,KR,cross_promo,iOS
u_000032,2024-12-17 01:40:18,KR,referral,Android
u_000033,2024-12-02 20:46:14,KR,cross_promo,iOS
u_000034,2024-12-05 15:11:09,KR,referral,iOS
u_000035,2024-12-05 14:24:48,KR,organic,Android
u_000036,2024-11-30 01:00:08,KR,paid_facebook,Android
u_000037,2024-11-30 06:01:16,KR,organic,Android
u_000038,2024-12-22 11:43:17,US,referral,Android
u_000039,2024-11-28 20:26:00,US,organic,iOS
u_000040,2024-11-07 19:04:32,KR,organic,iOS
u_000041,2024-11-23 22:05:05,JP,paid_facebook,Android
u_000042,2024-11-28 00:50:34,KR,organic,iOS
u_000043,2024-11-25 02:34:44,KR,organic,Android
u_000044,2024-12-11 12:01:20,KR,paid_facebook,Android
u_000045,2024-11-17 15:02:48,US,cross_promo,iOS
u_000046,2024-12-06 10:26:22,KR,paid_google,iOS
u_000047,2024-11-02 20:40:10,KR,paid_tiktok,Android
u_000048,2024-12-27 13:04:45,US,paid_google,iOS
u_000049,2024-12-26 21:09:23,KR,paid_tiktok,Android
u_000050,2024-12-13 07:47:05,JP,referral,Android
u_000051,2024-12-23 20:03:48,KR,paid_tiktok,Android
u_000052,2024-12-04 12:34:19,US,cross_promo,Android
u_000053,2024-11-10 20:49:58,JP,paid_tiktok,Android
u_000054,2024-11-19 12:23:08,KR,paid_google,Android
u_000055,2024-12-05 10:33:07,KR,referral,iOS
u_000056,2024-12-11 05:51:37,KR,paid_facebook,Android
u_000057,2024-11-25 13:03:47,KR,organic,iOS
u_000058,2024-11-09 14:42:01,JP,organic,iOS
u_000059,2024-11-23 14:55:47,US,organic,iOS
u_000060,2024-12-18 23:45:42,KR,referral,iOS
u_000061,2024-11-29 09:27:50,JP,organic,iOS
u_000062,2024-12-20 00:10:33,JP,paid_google,Android
u_000063,2024-11-21 16:32:35,JP,referral,iOS
u_000064,2024-11-09 10:32:06,JP,referral,Android
u_000065,2024-12-05 23:23:14,US,paid_facebook,iOS
u_000066,2024-12-28 18:21:05,KR,paid_facebook,Android
u_000067,2024-11-18 16:15:13,JP,cross_promo,iOS
u_000068,2024-12-27 10:16:25,KR,referral,iOS
u_000069,2024-11-03 16:05:12,KR,cross_promo,Android
u_000070,2024-12-03 06:48:57,JP,paid_google,Android
u_000071,2024-12-28 00:12:17,KR,organic,Android
u_000072,2024-12-07 07:05:38,US,paid_google,Android
u_000073,2024-11-21 02:21:35,JP,organic,iOS
u_000074,2024-12-05 04:59:56,JP,paid_tiktok,iOS
u_000075,2024-12-22 17:08:50,KR,referral,Android
u_000076,2024-12-28 15:31:46,JP,paid_google,iOS
u_000077,2024-11-26 00:16:45,JP,organic,Android
u_000078,2024-12-24 18:55:31,KR,paid_facebook,Android
u_000079,2024-11-22 12:58:14,KR,paid_facebook,Android
u_000080,2024-12-24 16:59:08,JP,referral,Android
u_000081,2024-12-10 20:00:57,KR,paid_tiktok,Android
u_000082,2024-12-21 19:38:31,JP,paid_google,Android
u_000083,2024-11-22 22:37:07,JP,paid_google,Android
u_000084,2024-12-15 01:23:55,KR,cross_promo,Android
u_000085,2024-11-30 11:42:54,US,paid_tiktok,iOS
u_000086,2024-11-27 10:22:13,US,paid_google,Android
u_000087,2024-12-20 14:21:51,KR,cross_promo,iOS
u_000088,2024-12-19 06:52:11,KR,organic,Android
u_000089,2024-11-25 01:53:26,KR,paid_google,iOS
u_000090,2024-11-25 16:16:53,KR,paid_google,Android
u_000091,2024-12-30 05:54:35,JP,paid_tiktok,Android
u_000092,2024-11-25 11:04:58,US,paid_google,Android
u_000093,2024-11-19 03:58:16,KR,cross_promo,Android
u_000094,2024-12-03 19:20:03,JP,cross_promo,Android
u_000095,2024-12-31 12:03:37,JP,organic,iOS
u_000096,2024-11-25 09:06:29,JP,paid_tiktok,Android
u_000097,2024-12-07 22:20:15,KR,referral,Android
u_000098,2024-12-12 14:17:53,KR,paid_google,iOS
u_000099,2024-11-29 18:36:22,KR,paid_facebook,Android
u_000100,2024-11-16 22:29:32,KR,referral,iOS
u_000101,2024-12-07 08:21:03,KR,referral,Android
u_000102,2024-11-12 03:01:27,JP,paid_google,Android
u_000103,2024-12-13 15:46:08,KR,paid_tiktok,Android
u_000104,2024-12-01 17:02:30,KR,referral,iOS
u_000105,2024-12-05 04:20:55,KR,paid_google,Android
